city_id,city_name,state,country,lat,lon,temperature,humidity,cloudiness,wind_speed,weather_condition,weather_condition_desc
4005370,Guadalupe y Calvo,,MX,26.1,-106.966667,79.66,30.0,94.0,3.27,Clouds,overcast clouds
4921083,Hamilton,IN,US,41.533661,-84.912743,79.63,47.0,1.0,6.93,Clear,clear sky
3612813,Dulce Nombre,,HN,14.85,-88.833328,75.83,77.0,88.0,2.73,Rain,light rain
4125388,Paragould,AR,US,36.058399,-90.49733,83.89,54.0,20.0,8.05,Clouds,few clouds
2635281,Tyldesley,,GB,53.513931,-2.46754,55.99,94.0,100.0,8.77,Rain,moderate rain
4013052,Concepción,,MX,32.533329,-117.116669,65.48,77.0,75.0,6.93,Clouds,broken clouds
6435543,Quettehou,,FR,49.599998,-1.3,63.27,67.0,40.0,11.41,Clouds,scattered clouds
5908443,Brent,,CA,46.033421,-78.482857,83.66,31.0,0.0,4.74,Clear,clear sky
5203164,New Cumberland,PA,US,40.232311,-76.884697,73.85,73.0,90.0,6.93,Clouds,overcast clouds
6357513,Quintanar del Rey,,ES,39.338188,-1.93892,82.0,23.0,4.0,5.99,Clear,clear sky
4945497,North Amherst,MA,US,42.41037,-72.530922,83.17,48.0,40.0,3.0,Clouds,scattered clouds
4867477,Mills County,IA,US,41.033329,-95.616951,82.72,65.0,75.0,10.29,Clouds,broken clouds
3106771,Valdesotos,,ES,40.95546,-3.3254200000000003,81.0,29.0,77.0,5.82,Clouds,broken clouds
4103448,Bryant,AR,US,34.595928,-92.489052,83.48,42.0,1.0,6.93,Clear,clear sky
6362272,San Pelayo,,ES,41.689308,-5.02581,73.65,31.0,51.0,10.29,Clouds,broken clouds
4877655,Storm Lake,IA,US,42.64109,-95.209717,78.85,65.0,1.0,11.41,Clear,clear sky
4459467,Cary,NC,US,35.791538,-78.78112,73.29,64.0,90.0,12.75,Clouds,overcast clouds
6356744,Carcaboso,,ES,40.044159,-6.20982,80.71,34.0,9.0,1.99,Clear,clear sky
4362173,Mechanicsville,MD,US,38.442902,-76.743851,78.12,61.0,75.0,4.7,Clouds,broken clouds
3105253,Villanueva de Gumiel,,ES,41.737782,-3.62658,68.0,40.0,40.0,5.82,Clouds,scattered clouds
4174503,Sunshine Ranches,FL,US,26.045919,-80.328941,87.93,70.0,40.0,4.7,Rain,light rain
5108707,Bellmore,NY,US,40.668709,-73.527069,75.25,78.0,90.0,5.82,Clouds,overcast clouds
3532278,Benito Juárez,,MX,19.83333,-97.75,68.45,61.0,1.0,6.58,Clear,clear sky
2571909,Bouarouss,,MA,34.360001,-4.8100000000000005,75.2,53.0,75.0,16.11,Clouds,broken clouds
3127593,Brullés,,ES,42.566029,-3.92343,68.0,40.0,40.0,5.82,Clouds,scattered clouds
3579232,Beauséjour,,GP,16.303511,-61.074059,89.6,59.0,75.0,18.34,Clouds,broken clouds
3592362,Morales,,GT,15.48333,-88.816673,80.6,88.0,75.0,1.52,Clouds,broken clouds
8131442,Municipio Baruta,,VE,10.43346,-66.875412,78.53,67.0,61.0,3.0,Rain,moderate rain
4805404,Fairmont,WV,US,39.485081,-80.142578,71.62,78.0,82.0,6.76,Rain,moderate rain
5336457,China Lake Acres,CA,US,35.640511,-117.763962,83.73,10.0,1.0,2.62,Clear,clear sky
3112096,Regueras de Arriba,,ES,42.29414,-5.85958,65.05,32.0,72.0,9.17,Clouds,broken clouds
4839636,North Branford,CT,US,41.327599,-72.767319,77.07,73.0,40.0,3.36,Clouds,scattered clouds
3815405,San Antonio Teacalco,,MX,19.24028,-98.306938,66.2,59.0,5.0,1.1,Clear,clear sky
4574835,City View,SC,US,34.861511,-82.431511,74.57,64.0,90.0,10.29,Clouds,overcast clouds
3574659,Debe,,TT,10.2,-61.450001,87.01,71.0,74.0,8.52,Rain,moderate rain
2519944,Casas de Guijarro,,ES,39.349998,-2.16667,82.02,23.0,0.0,5.99,Clear,clear sky
6357835,Arbeteta,,ES,40.682919,-2.40067,70.38,36.0,57.0,8.93,Clouds,broken clouds
5084505,Cheshire County,NH,US,42.933411,-72.266197,83.46,42.0,1.0,4.7,Clear,clear sky
6147967,Simcoe Beach,,CA,44.30011,-79.549629,76.86,82.0,0.0,1.63,Clear,clear sky
4181936,Belvedere Park,GA,US,33.754829,-84.267418,76.84,64.0,1.0,4.7,Clear,clear sky
3109005,Siero,,ES,43.383331,-5.66667,63.19,62.0,56.0,5.26,Clouds,broken clouds
3119793,Ladrillar,,ES,40.465759,-6.22427,77.4,34.0,85.0,5.99,Clouds,overcast clouds
